Remote,country,country_raw,FCS,FCS_group,LCS_Cat,LCS_crisem,FES,FES_band,Income4,HHSize,HHH_Sex,HHH_Age,HHH_Education,asset_index,earners
F2F,Borderline,2,7,Severely Food Insecure,Stress coping strategies,FALSE,0.7661838531494141,Severely Food Insecure,Moderately Food Insecure,4,1,38,2,1,3
F2F,Poor,1,7,Severely Food Insecure,Stress coping strategies,FALSE,0.5472816228866577,Marginally Food Secure,Moderately Food Insecure,2,1,27,NA,3,2
F2F,Poor,1,7,Severely Food Insecure,Emergencies coping strategies,FALSE,0.7362756133079529,Moderately Food Insecure,Severely Food Insecure,4,1,59,NA,2,4
F2F,Borderline,2,4,Severely Food Insecure,Not adopting coping strategies,FALSE,0.7150822281837463,Moderately Food Insecure,Moderately Food Insecure,5,1,63,NA,2,2
F2F,Poor,1,7,Severely Food Insecure,Stress coping strategies,FALSE,0.6769911050796509,Moderately Food Insecure,Moderately Food Insecure,6,1,31,NA,1,2
F2F,Poor,1,2,Severely Food Insecure,Emergencies coping strategies,FALSE,0.7879245281219482,Severely Food Insecure,Severely Food Insecure,3,1,22,2,3,3
F2F,Poor,1,2,Severely Food Insecure,Stress coping strategies,FALSE,0.8677524328231812,Severely Food Insecure,Moderately Food Insecure,8,1,57,NA,3,3
F2F,Poor,1,3,Severely Food Insecure,Stress coping strategies,FALSE,0.65267181396484375,Moderately Food Insecure,Moderately Food Insecure,8,1,45,1,3,3
F2F,Poor,1,2,Severely Food Insecure,Stress coping strategies,FALSE,0.9027447700500488,Severely Food Insecure,Moderately Food Insecure,8,1,74,1,2,2
F2F,Poor,1,2,Severely Food Insecure,Emergencies coping strategies,FALSE,0.7966805100440979,Severely Food Insecure,Severely Food Insecure,6,1,44,NA,3,2
F2F,Borderline,2,6,Severely Food Insecure,Not adopting coping strategies,FALSE,0.20974211394786835,Food Secure,Moderately Food Insecure,4,1,24,1,2,2
F2F,Poor,1,3,Severely Food Insecure,Stress coping strategies,FALSE,0.8762790560722351,Severely Food Insecure,Moderately Food Insecure,6,1,40,NA,2,2
F2F,Poor,1,3,Severely Food Insecure,Stress coping strategies,FALSE,0.809966504573822,Severely Food Insecure,Moderately Food Insecure,16,1,51,NA,2,3
F2F,Borderline,2,7,Severely Food Insecure,Not adopting coping strategies,FALSE,0.8262338638305664,Severely Food Insecure,Moderately Food Insecure,6,1,86,NA,NA,1
F2F,Borderline,2,7,Severely Food Insecure,Not adopting coping strategies,FALSE,0.810388445854187,Severely Food Insecure,Moderately Food Insecure,3,0,60,NA,NA,0
F2F,Poor,1,7,Severely Food Insecure,Not adopting coping strategies,FALSE,0.44561949372291565,Food Secure,Moderately Food Insecure,15,0,52,NA,NA,4
F2F,Poor,1,7,Severely Food Insecure,Stress coping strategies,FALSE,0.26284143328666687,Food Secure,Moderately Food Insecure,7,1,28,NA,4,2
F2F,Poor,1,7,Severely Food Insecure,Emergencies coping strategies,FALSE,0.829761803150177,Severely Food Insecure,Severely Food Insecure,7,1,43,NA,2,3
F2F,Poor,1,7,Severely Food Insecure,Not adopting coping strategies,FALSE,0.5233422517776489,Marginally Food Secure,Moderately Food Insecure,2,1,22,2,4,2
F2F,Borderline,2,7,Severely Food Insecure,Stress coping strategies,FALSE,0.525321900844574,Marginally Food Secure,Moderately Food Insecure,2,1,30,NA,1,2
F2F,Poor,1,7,Severely Food Insecure,Stress coping strategies,FALSE,0.6886423826217651,Moderately Food Insecure,Moderately Food Insecure,4,1,74,NA,2,3
F2F,Borderline,2,7,Severely Food Insecure,Stress coping strategies,FALSE,0.7722430229187012,Severely Food Insecure,Moderately Food Insecure,3,1,56,NA,3,4
F2F,Poor,1,7,Severely Food Insecure,Not adopting coping strategies,FALSE,0.6926738619804382,Moderately Food Insecure,Moderately Food Insecure,7,1,55,NA,3,2
F2F,Poor,1,7,Severely Food Insecure,Emergencies coping strategies,FALSE,0.714361846446991,Moderately Food Insecure,Severely Food Insecure,15,1,40,NA,1,2
F2F,Poor,1,7,Severely Food Insecure,Stress coping strategies,FALSE,0.7003890872001648,Moderately Food Insecure,Moderately Food Insecure,8,1,28,NA,1,2
F2F,Borderline,2,7,Severely Food Insecure,Emergencies coping strategies,FALSE,0.8109934329986572,Severely Food Insecure,Severely Food Insecure,2,1,56,NA,2,3
F2F,Poor,1,7,Severely Food Insecure,Stress coping strategies,FALSE,0.9154002070426941,Severely Food Insecure,Moderately Food Insecure,5,0,35,NA,1,1
F2F,Poor,1,7,Severely Food Insecure,Stress coping strategies,FALSE,0.7224626541137695,Moderately Food Insecure,Moderately Food Insecure,4,1,40,NA,1,1
F2F,Poor,1,7,Severely Food Insecure,Stress coping strategies,FALSE,0.40072447061538696,Food Secure,Moderately Food Insecure,8,1,73,NA,3,3
F2F,Poor,1,7,Severely Food Insecure,Emergencies coping strategies,FALSE,0.5028747320175171,Marginally Food Secure,Moderately Food Insecure,19,1,54,NA,4,5
F2F,Poor,1,7,Severely Food Insecure,Not adopting coping strategies,FALSE,0.6330863237380981,Marginally Food Secure,Moderately Food Insecure,16,1,50,NA,2,4
F2F,Borderline,2,7,Severely Food Insecure,Not adopting coping strategies,FALSE,0.6428571343421936,Marginally Food Secure,Moderately Food Insecure,5,1,70,NA,4,7
F2F,Borderline,2,7,Severely Food Insecure,Not adopting coping strategies,FALSE,0.596168041229248,Marginally Food Secure,Moderately Food Insecure,7,1,39,NA,4,11
F2F,Borderline,2,7,Moderately Food Insecure,Not adopting coping strategies,FALSE,0.6645376682281494,Moderately Food Insecure,Marginally Food Secure,4,0,23,2,3,2
F2F,Borderline,2,7,Moderately Food Insecure,Stress coping strategies,FALSE,0.7081813216209412,Moderately Food Insecure,Marginally Food Secure,2,1,57,NA,4,5
F2F,Borderline,2,7,Moderately Food Insecure,Stress coping strategies,FALSE,0.5725691318511963,Marginally Food Secure,Marginally Food Secure,5,1,70,NA,4,1
F2F,Acceptable,3,7,Moderately Food Insecure,Not adopting coping strategies,FALSE,0.7106215953826904,Moderately Food Insecure,Marginally Food Secure,4,0,35,NA,3,2
F2F,Poor,1,7,Severely Food Insecure,Emergencies coping strategies,FALSE,0.694439172744751,Moderately Food Insecure,Moderately Food Insecure,3,NA,NA,NA,4,10
F2F,Borderline,2,7,Moderately Food Insecure,Stress coping strategies,FALSE,0.6216481924057007,Marginally Food Secure,Marginally Food Secure,15,1,37,NA,3,1
F2F,Poor,1,7,Severely Food Insecure,Not adopting coping strategies,FALSE,0.6228940486907959,Marginally Food Secure,Moderately Food Insecure,5,1,43,NA,3,2
F2F,Poor,1,7,Severely Food Insecure,Not adopting coping strategies,FALSE,0.5478729605674744,Marginally Food Secure,Moderately Food Insecure,1,0,27,NA,3,3
F2F,Acceptable,3,7,Moderately Food Insecure,Stress coping strategies,FALSE,0.6945239901542664,Moderately Food Insecure,Marginally Food Secure,8,1,27,NA,4,2
F2F,Poor,1,7,Severely Food Insecure,Emergencies coping strategies,FALSE,0.7138431072235107,Moderately Food Insecure,Moderately Food Insecure,9,0,57,NA,2,5
F2F,Borderline,2,7,Severely Food Insecure,Emergencies coping strategies,FALSE,0.6117124557495117,Marginally Food Secure,Moderately Food Insecure,5,1,59,NA,2,2
F2F,Poor,1,7,Severely Food Insecure,Stress coping strategies,FALSE,0.6338028311729431,Marginally Food Secure,Moderately Food Insecure,9,1,63,NA,2,2
F2F,Borderline,2,7,Severely Food Insecure,Not adopting coping strategies,FALSE,0.41960960626602173,Food Secure,Moderately Food Insecure,12,NA,NA,NA,4,2
